34,5;
GC-30;74;3,21;
GNPPL-12;132;3,26;
GSPP-4;1;3,27;
770313;12;3,3;
773826;1;3,3;
GC-13;11;3,3;
GT-3646B;134;3,3;
GT-3646Br;54;3,3;
GT-3646Gr;238;3,3;
GT-3646R;29;3,3;
GT-3748B;76;3,3;
GT-3748Gr;393;3,3;
GT-3748R;63;3,3;
GNPP-13100;25;3,31;
GNPP-14200;96;3,34;
861738;59;3,35;
770573;12;3,4;
773734;1;3,4;
GNPLSS-13;95;3,42;
171806;53;3,49;
770580;11;3,5;
425602;13;3,51;
517208;42;3,51;
596715;3;3,51;
599204;1;3,51;
635155;2;3,51;
657607;33;3,51;
659205;6;3,51;
680032;28;3,51;
764022;3;3,51;
862735;86;3,51;
862827;56;3,51;
862957;17;3,51;
862988;2;3,51;
770399;12;3,6;
799451;12;3,6;
617502;204;3,62;
800720;145;3,62;
800850;139;3,62;
4810019;6;3,64;
842119;14;3,67;
861820;30;3,67;
864142;9;3,67;
864159;21;3,67;
GT-3643Br;2;3,67;
GTPP-3643;69;3,67;
808153;3;3,69;
773628;1;3,7;
794081;13;3,7;
Z CZE931585;6;3,7;
617069;103;3,71;
LU0257;84;3,71;
GC-39;125;3,72;
GNP-16150Bl;64;3,73;
424773;11;3,75;
617076;50;3,8;
770139;6;3,8;
171400;10;3,83;
450406;19;3,83;
452400;8;3,83;
523315;40;3,83;
525418;17;3,83;
525524;3;3,83;
596722;7;3,83;
598047;14;3,83;
842102;44;3,83;
868546;8;3,83;
880616;18;3,83;
GNPP-13150;68;3,83;
271247;15;3,86;
774120;1;3,9;
GSP-2;10;3,99;
GT-3753Gr;298;3,99;
774090;1;4;
GFT-13;1;4;
GSRH-01;12;4;
800621;71;4,07;
806722;14;4,07;
GNPL-12;24;4,09;
999555;7;4,1;
Z CZE933817;3;4,1;
G3871;11;4,14;
271124;86;4,15;
405208;32;4,15;
426388;49;4,15;
440407;26;4,15;
513729;2;4,15;
523636;9;4,15;
525548;3;4,15;
554166;5;4,15;
567203;32;4,15;
617908;6;4,15;
621295;8;4,15;
635209;6;4,15;
841105;10;4,15;
841112;3;4,15;
841129;2;4,15;
842201;9;4,15;
842218;73;4,15;
842256;3;4,15;
880326;60;4,15;
880388;25;4,15;
617526;128;4,16;
970607;37;4,19;
770689;10;4,2;
799352;11;4,2;
617083;45;4,25;
800300;20;4,29;
GNPP-13200;84;4,29;
521304;6;4,3;
864135;3;4,3;
GNP-16200Bl;97;4,3;
J3308;5;4,32;
LU0260;12;4,4;
425916;5;4,41;
617090;20;4,41;
617106;20;4,41;
271186;22;4,43;
426395;98;4,43;
523520;8;4,43;
526309;8;4,43;
527108;5;4,43;
528105;5;4,43;
563557;1;4,43;
563908;20;4,43;
621202;17;4,43;
680049;6;4,43;
841136;3;4,43;
842171;10;4,43;
842270;9;4,43;
862681;18;4,43;
880418;61;4,43;
806975;16;4,48;
GT-3748Br;64;4,49;
770597;12;4,5;
800409;123;4,52;
617533;299;4,55;
171509;1;4,58;
171608;1;4,58;
862636;42;4,58;
862728;5;4,58;
878828;1;4,58;
878835;31;4,58;
773604;1;4,6;
799338;12;4,6;
GT-3753B;159;4,69;
GT-3753Br;185;4,69;
GT-3753R;159;4,69;
